city,country,latitude,longitude,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,temp_avg_yearly,budget_level_encoded,HotelRating_encoded,rating_was_unknown,has_airport,is_short_trip,is_one_week,region_africa,region_asia,region_europe,region_middle_east,region_north_america,region_oceania,region_south_america,name,iata,icao,latitude_airport,longitude_airport,HotelName,Attractions
Sucre,Bolivia,-19.0477251,-65.2594306,4,3,3,1,2,3,2,2,4,15.566666666666668,1,3.0,1,1,1,1,False,False,False,False,False,False,True,Juana Azurduy De Padilla Airport,SRE,SLSU,-19.007099151611328,-65.2886962890625,Mi Angeline,Not specified
Milan,Italy,45.4641943,9.1896346,5,2,2,1,4,5,3,5,2,14.75,3,4.0,0,1,1,1,False,False,True,False,False,False,False,Milano Linate Airport,LIN,LIML,45.445099,9.27674,Helios Hotel,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Royal Villa of Monza - 1.6 km / 1 mi <br /> Monza Park - 2 km / 1.3 mi <br /> Monza Circuit - 3.4 km / 2.1 mi <br /> Autodromo Nazionale Monza - 4.5 km / 2.8 mi <br /> Auchan - 4.9 km / 3 mi <br /> Acquaworld - 8 km / 5 mi <br /> Carroponte - 9.3 km / 5.8 mi <br /> Teatro degli Arcimboldi - 11 km / 6.8 mi <br /> University of Milano-Bicocca - 11.6 km / 7.2 mi <br /> Humanitas San Pio X - 13.3 km / 8.3 mi <br /> San Raffaele Hospital - 13.9 km / 8.6 mi <br /> Piazzale Loreto - 14.1 km / 8.7 mi <br /> National Institute of Nuclear Research - 14.1 km / 8.8 mi <br /> Niguarda Hospital - 14.1 km / 8.8 mi <br /> Corso Buenos Aires - 14.2 km / 8.8 mi <br /> </p><p>The nearest airports are:<br />Linate Airport (LIN) - 20 km / 12.4 mi<br /> Milan Malpensa Airport (MXP) - 57.4 km / 35.7 mi<br /> Bergamo Orio al Serio Airport (BGY) - 46.3 km / 28.8 mi<br /> </p><p>The preferred airport for Helios Hotel Monza is Linate Airport (LIN). </p>
Copenhagen,Denmark,55.6867243,12.5700724,5,2,3,2,4,4,3,5,2,10.225,2,5.0,0,1,1,1,False,False,True,False,False,False,False,Copenhagen Kastrup Airport,CPH,EKCH,55.617900848389,12.656000137329,Villa Copenhagen,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>DGI-Byen - 0.2 km / 0.1 mi <br /> Ny Carlsberg Glyptotek - 0.3 km / 0.2 mi <br /> Oksnehallen - 0.5 km / 0.3 mi <br /> Danish Design Centre - 0.5 km / 0.3 mi <br /> Tivoli Gardens - 0.5 km / 0.3 mi <br /> Tivoli Concert Hall - 0.5 km / 0.3 mi <br /> Wallmans Circus Building - 0.6 km / 0.4 mi <br /> City Hall Square - 0.6 km / 0.4 mi <br /> National Museum of Denmark - 0.7 km / 0.4 mi <br /> Copenhagen City Hall - 0.7 km / 0.4 mi <br /> Hans Christian Andersen Fairy-Tale House - 0.8 km / 0.5 mi <br /> Strøget - 0.8 km / 0.5 mi <br /> Pumpehuset - 0.8 km / 0.5 mi <br /> H.C. Anderson s Wonderful World - 0.9 km / 0.5 mi <br /> Huset-KBH - 0.9 km / 0.5 mi <br /> </p><p>The preferred airport for Villa Copenhagen is Copenhagen Airport  Kastrup (CPH) - 13.3 km / 8.2 mi </p>
Surabaya,Indonesia,-7.2459717,112.7378266,4,3,3,2,3,4,3,4,2,28.758333333333336,1,3.0,0,1,1,0,False,True,False,False,False,False,False,Juanda International Airport,SUB,WARR,-7.379829883575439,112.78700256347656,The Square,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Petra Christian University - 0.2 km / 0.1 mi <br /> City of Tomorrow - 2.2 km / 1.4 mi <br /> Pelita Harapan University Surabaya - 2.3 km / 1.4 mi <br /> Universitas Islam Negeri Sunan Ampel Surabaya - 2.6 km / 1.6 mi <br /> Al Akbar Mosque - 3.3 km / 2 mi <br /> Royal Plaza Surabaya - 4.7 km / 2.9 mi <br /> Surabaya Zoo - 6.1 km / 3.8 mi <br /> Monument Of Suroboyo - 6.5 km / 4 mi <br /> Mpu Tantular Museum - 6.8 km / 4.2 mi <br /> House of Sampoerna - 7.5 km / 4.6 mi <br /> Taman Bungkul - 7.5 km / 4.6 mi <br /> Surabaya Town Square - 7.8 km / 4.9 mi <br /> Lapangan Thor Stadium - 8.4 km / 5.2 mi <br /> University of Pembangunan Nasional Veteran - 8.4 km / 5.2 mi <br /> Korea Park - 8.6 km / 5.3 mi <br /> </p><p>The nearest major airport is Surabaya (SUB-Juanda) - 10.6 km / 6.6 mi</p>
Windhoek,Namibia,-22.53356015,17.045477525861745,3,4,4,1,3,3,3,3,4,21.016666666666666,2,3.0,0,1,1,1,True,False,False,False,False,False,False,Hosea Kutako International Airport,WDH,FYWH,-22.4799,17.4709,Galton House,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Old Supreme Court - 3.5 km / 2.2 mi <br /> Turnhalle - 3.6 km / 2.2 mi <br /> National Gallery of Namibia - 4.1 km / 2.5 mi <br /> National Art Gallery - 4.1 km / 2.5 mi <br /> Kudu Statue - 4.1 km / 2.6 mi <br /> Train Station - 4.2 km / 2.6 mi <br /> Owambo Campaign Memorial - 4.3 km / 2.7 mi <br /> Gathemanns Complex - 4.3 km / 2.7 mi <br /> Owela Museum - 4.4 km / 2.7 mi <br /> Old Magistrates Court - 4.4 km / 2.7 mi <br /> Trans-Namib Transport Museum - 4.5 km / 2.8 mi <br /> Tintenpalast - 4.5 km / 2.8 mi <br /> Post Street Mall - 4.5 km / 2.8 mi <br /> Wernhil Park - 4.6 km / 2.9 mi <br /> Zoo Park - 4.6 km / 2.9 mi <br /> </p><p>The nearest airports are:<br />Windhoek (WDH-Hosea Kutako) - 47.2 km / 29.4 mi<br /> Windhoek (ERS-Eros) - 11.6 km / 7.2 mi<br /> </p><p></p>
Kingston,Jamaica,17.9712148,-76.7928128,4,3,3,3,4,4,3,3,2,28.400000000000002,2,4.0,0,1,1,1,False,False,False,False,True,False,False,Norman Manley International Airport,KIN,MKJP,17.935699462890625,-76.7874984741211,Wyndham Kingston Jamaica,Devon House: within 1000 metre  royal botanic gardens: within 3500 metre  bob marley museum: within 2000 metre 
Nagasaki,Japan,33.1154683,129.7874339,4,2,3,2,3,4,3,3,3,17.666666666666668,2,3.0,0,1,1,0,False,True,False,False,False,False,False,Nagasaki Airport,NGS,RJFU,32.916900634799994,129.914001465,New Tanda,Not specified
Manchester,United Kingdom,53.4794892,-2.2451148,4,2,2,1,4,4,3,4,2,10.433333333333334,2,4.0,0,1,1,1,False,False,True,False,False,False,False,Manchester Airport,MAN,EGCC,53.35369873046875,-2.2749500274658203,Hyatt House Manchester,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>University of Manchester - 0.1 km / 0.1 mi <br /> Manchester Metropolitan University - 0.1 km / 0.1 mi <br /> Manchester Museum - 0.4 km / 0.2 mi <br /> Manchester Academy - 0.8 km / 0.5 mi <br /> Contact - 0.9 km / 0.6 mi <br /> Manchester Conference Centre - 1 km / 0.6 mi <br /> Manchester Palace Theatre - 1.1 km / 0.7 mi <br /> Whitworth Art Gallery - 1.2 km / 0.7 mi <br /> Canal Street - 1.3 km / 0.8 mi <br /> Deansgate Locks - 1.3 km / 0.8 mi <br /> O2 Apollo Manchester - 1.4 km / 0.8 mi <br /> Bridgewater Hall - 1.4 km / 0.9 mi <br /> St. Peter s Square - 1.4 km / 0.9 mi <br /> Manchester Art Gallery - 1.5 km / 1 mi <br /> Royal Manchester Children s Hospital - 1.6 km / 1 mi <br /> </p><p>The nearest airports are:<br />Manchester Airport (MAN) - 13.3 km / 8.3 mi<br /> John Lennon Airport (LPL) - 53.2 km / 33.1 mi<br /> </p><p>The preferred airport for Hyatt House Manchester is Manchester Airport (MAN). </p>
Amsterdam,Netherlands,52.3730796,4.8924534,5,3,3,2,5,4,3,5,2,11.391666666666666,2,3.0,0,1,1,1,False,False,True,False,False,False,False,Amsterdam Airport Schiphol,AMS,EHAM,52.308601,4.76389,Hampton by Hilton Amsterdam Arena Boulevard,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>AFAS Live - 0.3 km / 0.2 mi <br /> Johan Cruyff Arena - 0.8 km / 0.5 mi <br /> Ziggo Dome - 1.2 km / 0.8 mi <br /> Amstel Business Park - 2.3 km / 1.4 mi <br /> Academic Medical Centre - 2.8 km / 1.7 mi <br /> Gaasperpark - 3.4 km / 2.1 mi <br /> Rijnstraat - 4.9 km / 3 mi <br /> IBC - 7.8 km / 4.8 mi <br /> Oosterpark - 7.8 km / 4.9 mi <br /> RAI Exhibition and Congress Centre - 8.1 km / 5 mi <br /> Magere Brug - 8.1 km / 5 mi <br /> Royal Theater Carre - 8.1 km / 5.1 mi <br /> Tropenmuseum - 8.2 km / 5.1 mi <br /> Keizersgracht - 8.2 km / 5.1 mi <br /> Hermitage Amsterdam - 8.2 km / 5.1 mi <br /> </p><p>The preferred airport for Hampton by Hilton Amsterdam / Arena Boulevard is Amsterdam Airport Schiphol (AMS) - 20.2 km / 12.5 mi </p>
Trondheim,Norway,63.4304475,10.3952118,4,3,4,2,3,3,3,3,4,7.859999999999999,3,3.0,0,1,1,1,False,False,True,False,False,False,False,Trondheim Airport Værnes,TRD,ENVA,63.4578018,10.9239998,Thon Hotel Trondheim,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Torget Square - 0.1 km / 0.1 mi <br /> Hiking in Bymarka - 0.1 km / 0.1 mi <br /> Stiftsgarden Royal Residence - 0.2 km / 0.1 mi <br /> Nordre Gate Shopping Street - 0.3 km / 0.2 mi <br /> Trondheim Brukskunstforening - 0.3 km / 0.2 mi <br /> Museum of Decorative Arts - 0.3 km / 0.2 mi <br /> Trondheim Glassblaseri - 0.3 km / 0.2 mi <br /> Nordenfjeldske Kunstindustrimuseum - 0.3 km / 0.2 mi <br /> Salamander Night - 0.4 km / 0.2 mi <br /> Vitensenteret - 0.4 km / 0.2 mi <br /> Trondheim Tourist Information Centre - 0.4 km / 0.3 mi <br /> Pilegrimsleden - The Route of St. Olav Ways - 0.4 km / 0.3 mi <br /> Trondheim Art Gallery - 0.4 km / 0.3 mi <br /> Trondheim Art Museum - 0.4 km / 0.3 mi <br /> Trondheim Kunstmuseum - 0.4 km / 0.3 mi <br /> </p><p>The nearest airports are:<br />Vaernes Airport (TRD) - 32.2 km / 20 mi<br /> Orland (OLA-Brekstad) - 105.9 km / 65.8 mi<br /> </p><p>The preferred airport for Thon Hotel Trondheim is Vaernes Airport (TRD). </p>
